30,30,3,0
2,7,22
2,5,20
2,6,20
2,7,20
2,7,21
2,6,21
2,5,21
2,5,22
2,6,22
2,3,9
2,5,8
1,2,17
1,3,21
1,3,24
1,2,24
2,1,20
2,1,21
2,1,22
2,1,23
2,1,24
2,1,25
2,2,25
2,3,25
2,4,20
2,4,21
2,4,22
2,4,23
2,4,24
2,4,25
2,5,25
2,5,24
2,5,23
2,6,23
2,6,24
2,6,25
2,8,22
2,8,21
2,8,20
2,7,19
2,6,19
2,6,18
2,6,17
2,6,16
2,6,15
2,6,14
2,6,13
2,3,14
2,3,13
2,3,12
2,4,11
2,5,11
2,5,12
2,6,12
2,1,6
2,2,6
2,3,6
2,4,6
2,5,6
2,6,6
2,7,6
2,8,6
2,9,6
1,3,11
1,5,10
1,6,11
1,7,13
1,7,15
1,8,15
1,9,15
1,10,15
2,7,17
2,8,17
2,9,17
2,10,17
2,11,17
2,11,16
2,11,15
2,11,14
2,11,13
2,12,13
2,13,13
2,14,13
2,14,12
2,14,11
2,14,10
1,12,8
1,14,9
1,16,10
1,18,11
1,20,14
1,17,16
1,15,18
1,13,20
1,11,21
2,11,22
2,12,22
2,13,22
2,14,22
2,15,22
2,16,22
2,17,22
2,22,22
2,22,21
2,22,20
2,22,19
2,22,18
2,22,17
2,22,16
2,22,15
2,22,14
2,22,13
2,22,12
2,22,11
2,22,10
2,22,9
2,22,8
2,18,28
2,17,28
2,16,28
2,15,29
2,14,29
2,13,29
2,12,29
2,11,29
2,10,29
2,9,29
2,8,29
2,7,29
2,7,26
2,7,27
2,7,28
2,9,25
2,9,26
2,9,27
2,9,28
2,11,26
2,11,27
2,12,28
2,13,26
2,13,27
2,13,28
2,15,28
2,15,27
2,15,26
2,18,26
2,17,26
2,17,27
2,18,27
1,9,24
1,7,25
1,8,28
1,10,28
1,11,28
1,12,27
1,14,28
1,16,27
1,19,27
1,22,26
2,19,28
2,20,28
2,21,28
2,22,27
2,23,27
2,24,25
2,25,24
2,26,23
2,27,22
2,28,11
2,29,8
1,24,24
1,27,21
1,26,16
1,27,11
2,22,28
2,24,26
2,25,25
2,26,24
2,27,23
2,28,22
2,28,21
2,28,20
2,28,19
2,28,18
2,28,17
2,28,16
2,28,15
2,28,14
2,28,13
1,26,17
1,27,12
2,28,12
2,29,11
2,0,1
2,30,1
2,0,2
2,30,2
2,0,3
2,30,3
2,0,4
2,30,4
2,0,5
2,30,5
2,0,6
2,30,6
2,0,7
2,30,7
2,0,8
2,30,8
2,0,9
2,30,9
2,29,10
2,29,9
1,27,7
1,26,7
2,25,7
2,24,7
2,23,7
2,22,7
2,22,6
1,22,5
1,20,5
1,18,5
2,21,5
2,19,5
2,17,5
1,16,5
2,15,5
2,14,5
1,13,5
2,12,5
2,11,5
1,10,5
2,9,5
2,9,4
2,9,3
1,1,2
1,2,2
1,3,2
1,4,2
1,5,2
1,6,2
1,7,2
1,8,2
1,9,2
1,15,0
1,15,30
1,16,0
1,16,30
1,17,0
1,17,30
1,18,0
1,18,30
1,19,0
1,19,30
1,20,0
1,20,30
1,21,0
1,21,30
1,22,0
1,22,30
1,23,0
1,23,30
1,24,0
1,24,30
1,25,0
1,25,30
1,26,0
1,26,30
1,27,0
1,27,30
1,28,0
1,28,30
1,29,0
1,29,30
1,0,0
1,30,0
1,0,30
1,30,30
